,ID,Country,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,ef_mean,Region,World Rank,Region Rank,2021 Score,Property Rights,Judical Effectiveness,Government Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,Tariff Rate (%),Income Tax Rate (%),Corporate Tax Rate (%),Tax Burden % of GDP,Gov't Expenditure % of GDP ,Population (Millions),"GDP (Billions, PPP)",GDP Growth Rate (%),5 Year GDP Growth Rate (%),GDP per Capita (PPP),Unemployment (%),Inflation (%),FDI Inflow (Millions),Public Debt (% of GDP)
40,40,Kazakhstan,31.74,43.47,47.04,47.42,45.19,43.20111111111111,42.97,45.95,43.83,41.2,43.20111111111111,Asia-Pacific,34.0,8.0,71.1,60.2,62.8,44.6,93.6,86.7,98.3,76.2,86.2,70.0,74.6,50.0,50.0,5.2,10.0,20.0,11.717799586587645,21.061000000000003,18.51393,540.984,4.5,3.0,27443.571172151474,4.6,5.244,3118.116,20.2
41,41,Singapore,62.703333333333326,58.92,61.08,63.52,68.63,58.65,59.58,66.03,66.82,61.1,62.703333333333326,Asia-Pacific,1.0,1.0,89.7,97.5,90.8,93.2,90.5,94.1,80.0,93.8,91.5,85.4,95.0,85.0,80.0,0.0,22.0,17.0,13.141717058607233,14.004,5.703569,593.802,0.733,2.948,101375.775310612,4.1,0.565,92080.54773633591,111.8
42,42,India,47.35,54.38,58.21,57.3,57.13,57.49,53.54,56.12,55.49,49.6,54.661,Asia-Pacific,121.0,26.0,56.5,59.2,55.9,48.1,78.7,78.5,18.0,76.7,41.3,72.1,69.4,40.0,40.0,10.3,30.9,32.4,11.179921835287544,26.748666666666665,1366.417754,11043.18,4.228,6.7288000000000014,7034.217224321284,5.4,4.536,50552.96199933003,71.9
43,43,Pakistan,50.78857142857144,50.78857142857144,49.96,48.78,51.66,56.03,50.78857142857144,49.88,51.41,47.8,50.78857142857144,Asia-Pacific,152.0,34.0,51.7,44.9,40.7,31.2,73.8,86.0,7.4,60.5,41.2,69.7,64.6,60.0,40.0,10.2,35.0,35.0,12.98744,21.637333333333334,216.565318,1201.63,3.294,4.5324,4884.881389534466,4.5,6.738,2218.0,83.5
44,44,Argentina,53.49,54.43,60.26,58.4,57.58,55.38,59.02,56.51,58.38,56.6,57.00500000000001,Americas,148.0,26.0,52.7,46.1,45.7,54.0,70.4,52.8,38.4,59.5,46.3,41.9,62.6,55.0,60.0,13.7,35.0,30.0,28.9,39.646,44.938712,911.562,-2.163,-0.265,22947.1397952874,9.8,53.548,6244.4229999,88.7
45,45,Uruguay,51.66888888888889,51.49,50.25,51.63,53.41,53.42,49.61,51.73,54.08,49.4,51.66888888888889,Americas,44.0,4.0,69.3,68.1,66.8,75.7,72.6,66.9,80.5,72.3,70.5,72.5,70.8,85.0,30.0,9.6,36.0,25.0,28.6,33.19266666666667,3.461734,82.791,0.222,1.2988000000000002,22454.657943345523,8.7,7.882,189.244,67.4
46,46,Iran,47.65555555555556,49.3,46.59,46.38,48.29,52.92,41.83,46.6,48.69,48.3,47.65555555555556,Middle East and North Africa,168.0,14.0,47.2,33.5,28.3,31.8,80.8,90.1,82.8,57.1,50.1,42.1,54.2,5.0,10.0,15.4,35.0,25.0,8.39,18.145666666666667,82.913906,1491.45,-7.586,0.33180000000000015,12912.2,11.4,41.06,1508.0,29.7
47,47,Morocco,47.25555555555555,47.71,47.4,49.86,48.1,49.4,42.43,47.91,47.19,45.3,47.25555555555555,Middle East and North Africa,81.0,9.0,63.3,67.5,51.2,39.9,68.3,73.0,68.5,72.3,33.2,80.3,70.6,65.0,70.0,9.7,38.0,31.0,27.613,29.993666666666666,36.471769,327.251,2.203,3.005,7826.16767727681,9.0,-0.048,1599.1340406859463,65.8
48,48,China,47.62,50.77,49.41,50.94,51.94,49.0,50.15,52.45,53.44,52.0,50.772,Asia-Pacific,107.0,20.0,58.4,62.2,71.5,46.4,72.6,67.6,54.8,80.2,64.9,69.8,71.2,20.0,20.0,4.4,45.0,25.0,9.419318202271429,32.9,1397.715,27306.98,6.11,6.711200000000001,16784.659349715483,4.3,2.903,141225.0,54.4
51,51,Algeria,42.98111111111111,43.16,40.34,41.6,44.5,47.13,38.51,42.11,45.28,44.2,42.98111111111111,Middle East and North Africa,162.0,13.0,49.7,34.0,41.6,32.7,67.2,55.4,49.1,63.5,51.3,84.3,57.4,30.0,30.0,13.8,35.0,26.0,37.18,38.5,43.053054,668.827,0.7,2.06,11820.087683680744,11.7,1.952,1381.8900896,46.3
52,52,Kuwait,44.760000000000005,46.97,42.65,42.98,45.64,47.01,42.13,43.14,46.22,46.1,44.760000000000005,Middle East and North Africa,74.0,8.0,64.1,57.4,52.6,47.5,97.7,21.4,99.7,66.0,62.2,73.6,75.8,55.0,60.0,4.6,0.0,15.0,1.3807787476104696,51.16966666666667,4.207083,308.672,0.734,0.15780000000000002,51912.01212917538,2.2,1.1,104.41362603339812,11.6
53,53,Egypt,46.1175,48.89,46.73,47.32,48.76,45.92,46.1175,40.51,47.11,43.7,46.1175,Middle East and North Africa,130.0,11.0,55.7,51.2,54.0,37.0,86.9,73.1,6.0,62.7,51.4,64.3,67.0,65.0,50.0,9.0,22.5,22.5,17.129,29.941999999999997,100.388073,1391.27,5.558,4.7336,12250.78041424307,10.8,13.865,9010.0,83.8
54,54,United Arab Emirates,48.88,50.37,50.87,49.81,47.27,45.53,51.8,48.88,48.19,47.2,48.88,Middle East and North Africa,14.0,1.0,76.9,80.8,81.1,66.0,100.0,73.0,98.5,80.0,81.6,80.6,81.4,40.0,60.0,4.3,0.0,0.0,0.059310281329913166,29.978333333333335,9.770529,744.092,1.292,2.3352,69900.87784769331,2.4,-1.931,13787.46594,26.6
59,59,Ukraine,51.415000000000006,53.09,52.61,50.62,52.86,51.415000000000006,48.5,50.91,52.13,50.6,51.415000000000006,Europe,127.0,45.0,56.2,48.5,41.1,37.9,88.7,48.2,87.7,63.5,48.7,65.8,79.2,35.0,30.0,2.9,20.0,18.0,20.140889334257523,41.550333333333334,44.385155,409.825,3.173,0.32859999999999995,13341.2105189612,8.9,7.886,3070.0,50.1
60,60,Sri Lanka,47.905,51.47,47.89,46.58,49.39,47.905,46.37,47.84,47.1,46.6,47.905,Asia-Pacific,131.0,28.0,55.7,45.4,46.8,39.5,85.0,88.4,30.1,75.2,59.1,71.6,47.0,40.0,40.0,19.0,24.0,28.0,11.919153551202882,19.626,21.803,304.166,2.283,3.7324000000000006,13620.118480375222,4.2,4.303,758.187,86.8
61,61,Jordan,46.84375,46.44,47.33,45.85,47.1,46.84375,47.82,47.4,47.21,45.6,46.84375,Middle East and North Africa,69.0,6.0,64.6,66.2,60.3,51.0,84.7,73.3,45.5,58.9,52.8,82.0,71.0,70.0,60.0,9.5,30.0,20.0,15.126289761748012,29.828999999999997,10.101694,96.263,2.021,2.1452,10316.609094632064,14.7,0.297,915.774647887324,93.2
63,63,Romania,59.451428571428565,59.451428571428565,59.69,58.14,60.31,59.451428571428565,58.63,59.13,61.36,58.9,59.451428571428565,Europe,43.0,26.0,69.5,68.8,63.1,54.6,94.3,69.2,78.9,59.7,63.6,77.7,84.0,70.0,50.0,3.0,10.0,16.0,14.58483480834879,32.056333333333335,19.356544,549.195,4.078,4.8598,32297.3033740157,4.0,3.825,5971.218430951102,35.2
64,64,Cambodia,41.12571428571429,41.12571428571429,39.15,39.48,42.86,41.12571428571429,38.25,40.86,43.78,43.5,41.12571428571429,Asia-Pacific,118.0,24.0,57.25,39.9,23.2,17.0,89.1,84.3,98.3,30.9,62.6,75.1,66.6,50.0,50.0,9.2,20.0,20.0,17.052091762089926,22.9,16.486542,76.959,7.045,7.094800000000001,4570.694288756898,0.7,2.371,3706.0329999,28.5
